,Year,Month,Day,Adjusted close price,AMD,AAPL,CSCO,GOOGL,IBM,INTC,NVDA,TXN
1601,2014,5,13,304.6400,4.0300,77.4480,19.2385,541.5400,152.9133,22.7049,17.4044,39.9579
1602,2014,5,14,297.6200,3.9800,77.4623,19.1964,534.4100,150.1525,22.6019,17.2330,39.4989
1603,2014,5,15,295.1900,3.9600,76.8036,20.3494,529.1200,148.3544,22.3272,17.1378,38.8753
1604,2014,5,16,297.7000,4.0200,77.9371,20.5093,528.3000,148.8317,22.1641,17.0997,38.9619
1605,2014,5,19,296.7600,4.0900,78.8606,20.4924,538.8300,148.7840,22.3529,17.6520,39.4902
1606,2014,5,20,301.1900,4.0500,78.8762,20.2989,540.3900,147.1052,22.3529,17.4463,39.5855
1607,2014,5,21,305.0100,4.1000,79.0850,20.6018,549.7000,148.2986,22.4903,17.4463,39.5335
1608,2014,5,22,304.9100,4.0100,79.2102,20.5177,555.4500,147.7337,22.4474,17.5228,39.9579
1609,2014,5,23,312.2400,4.0200,80.1050,20.6355,563.8000,147.9406,22.5675,17.6854,40.0531
1610,2014,5,27,310.8200,4.0400,81.6050,20.7954,574.8700,147.0177,22.9281,18.0011,40.1397
1611,2014,5,28,310.1600,4.0000,81.3937,20.8880,570.4500,145.6651,23.0740,18.1541,40.2350
1612,2014,5,29,313.7800,4.0300,82.8767,20.7702,570.5600,146.2061,23.1427,18.1254,40.4082
1613,2014,5,30,312.5500,4.0000,82.5663,20.7197,571.6500,146.6835,23.4517,18.1732,40.6853
1614,2014,6,2,308.8400,3.9700,81.9989,20.8543,564.3400,147.7417,23.4002,18.1159,40.6940
1615,2014,6,3,307.1900,3.9400,83.1584,20.7702,554.5100,146.6914,23.7436,18.0393,40.6940
1616,2014,6,4,306.7800,4.0400,84.1080,20.6187,553.7600,146.8028,23.6921,18.0585,40.5727
1617,2014,6,5,323.5700,4.0800,84.4381,20.7870,564.9300,147.9724,23.7436,18.1350,41.0490
1618,2014,6,6,329.6700,4.0600,84.2059,20.8964,566.0300,148.2827,24.1814,18.2019,41.1356
1619,2014,6,9,327.5000,4.0700,85.5533,20.8711,570.7300,148.1634,23.9582,18.2211,41.4647
1620,2014,6,10,332.4100,4.2000,86.0555,21.0395,568.3000,146.6278,24.2414,18.3167,41.5427
1621,2014,6,11,335.2000,4.2900,85.6994,21.0731,567.5000,145.0047,23.9753,18.5558,41.6466
1622,2014,6,12,325.9100,4.2900,84.2659,20.7533,559.5000,144.1852,24.0011,18.6706,41.6899
1623,2014,6,13,326.2700,4.2800,83.3437,20.7870,560.3500,145.2514,25.6406,18.6897,41.8544
1624,2014,6,16,327.6200,4.4400,84.1837,20.6439,552.3000,145.0843,25.7608,18.6323,41.6812
1625,2014,6,17,325.6200,4.4700,84.0741,20.6187,550.6200,145.0127,25.7093,18.7567,41.7938
1626,2014,6,18,334.3800,4.4000,84.1654,20.7281,560.6600,146.0788,25.6921,18.7376,41.4561
1627,2014,6,19,327.0000,4.3600,83.8733,20.7954,564.9900,145.4582,25.8295,18.3071,41.4907
1628,2014,6,20,324.2000,4.1000,83.0059,20.8964,566.5200,144.4478,25.9239,18.1063,41.5167
1629,2014,6,23,327.2400,4.0100,82.9328,20.7870,574.2900,144.9172,25.9497,17.8958,41.6379
1630,2014,6,24,324.1600,3.9400,82.4306,20.6439,572.5400,143.9147,26.1814,17.6185,41.3175
1631,2014,6,25,327.4400,3.9600,82.5037,20.8038,585.9300,143.7874,26.5076,17.8002,41.6033
1632,2014,6,26,325.6900,4.0300,82.9967,20.7449,584.7700,143.5089,26.4218,17.5611,41.3868
1633,2014,6,27,324.5700,4.1100,83.9828,20.7870,585.6900,144.5751,26.5506,17.5802,41.3608
1634,2014,6,30,324.7800,4.1900,84.8502,20.9132,584.6700,144.2250,26.5248,17.7333,41.3868
1635,2014,7,1,332.3900,4.2200,85.3889,21.1068,591.4900,148.2668,26.5935,17.9341,41.9930
1636,2014,7,2,332.8500,4.3400,85.3524,21.2255,590.7800,149.8899,26.5935,17.8672,42.0103
1637,2014,7,3,337.4900,4.2400,85.8546,21.3612,593.0800,150.0013,26.7308,18.0298,42.3914
1638,2014,7,7,333.5500,4.2600,87.6259,21.3951,590.7600,149.6114,26.6364,17.8863,42.3654
1639,2014,7,8,323.8100,4.2200,87.0598,21.2594,578.4000,148.9590,26.4304,17.7428,42.3047
